,time,revenus,r/c,accept_ratio
547,547,22410,0.806,1.0
548,548,22410,0.806,1.0
549,549,22410,0.806,1.0
550,550,22410,0.806,1.0
551,551,22410,0.806,1.0
552,552,22410,0.806,1.0
553,553,22410,0.806,1.0
554,554,22410,0.806,1.0
555,555,22410,0.806,1.0
556,556,22410,0.806,1.0
557,557,22410,0.806,1.0
558,558,22410,0.806,1.0
559,559,22410,0.806,1.0
560,560,22410,0.806,1.0
561,561,22410,0.806,1.0
562,562,22410,0.806,1.0
563,563,22410,0.806,1.0
564,564,22568,0.806,1.0
565,565,22568,0.806,1.0
566,566,22568,0.806,1.0
567,567,22568,0.806,1.0
568,568,22568,0.806,1.0
569,569,22568,0.806,1.0
570,570,22568,0.806,1.0
571,571,22568,0.806,1.0
572,572,22568,0.806,1.0
573,573,22568,0.806,1.0
574,574,22568,0.806,1.0
575,575,22568,0.806,1.0
576,576,23625,0.807,1.0
577,577,23625,0.807,1.0
578,578,23625,0.807,1.0
579,579,23625,0.807,1.0
580,580,23625,0.807,1.0
581,581,23625,0.807,1.0
582,582,23625,0.807,1.0
583,583,23625,0.807,1.0
584,584,23625,0.807,1.0
585,585,23625,0.807,1.0
586,586,23625,0.807,1.0
587,587,23625,0.807,1.0
588,588,23625,0.807,1.0
589,589,23625,0.807,1.0
590,590,23625,0.807,1.0
591,591,23625,0.807,1.0
592,592,23625,0.807,1.0
593,593,23625,0.807,1.0
594,594,23625,0.807,1.0
595,595,23625,0.807,1.0
596,596,23625,0.807,1.0
597,597,23625,0.807,1.0
598,598,23625,0.807,1.0
599,599,23625,0.807,1.0
600,600,25017,0.801,1.0
601,601,25017,0.801,1.0
602,602,25017,0.801,1.0
603,603,25017,0.801,1.0
604,604,25017,0.801,1.0
605,605,25017,0.801,1.0
606,606,25017,0.801,1.0
607,607,25017,0.801,1.0
608,608,25017,0.801,1.0
609,609,25017,0.801,1.0
610,610,25017,0.801,1.0
611,611,25017,0.801,1.0
612,612,25017,0.801,1.0
613,613,25017,0.801,1.0
614,614,25017,0.801,1.0
615,615,25017,0.801,1.0
616,616,25017,0.801,1.0
617,617,25017,0.801,1.0
618,618,25156,0.796,1.0
619,619,25156,0.796,1.0
620,620,25156,0.796,1.0
621,621,25156,0.796,1.0
622,622,25156,0.796,1.0
623,623,25156,0.796,1.0
624,624,25156,0.796,1.0
625,625,25156,0.796,1.0
626,626,25156,0.796,1.0
627,627,25156,0.796,1.0
628,628,25156,0.796,1.0
629,629,25156,0.796,1.0
630,630,25156,0.796,1.0
631,631,25156,0.796,1.0
632,632,25156,0.796,1.0
633,633,25156,0.796,1.0
634,634,25156,0.796,1.0
635,635,25156,0.796,1.0
636,636,25156,0.796,1.0
637,637,25156,0.796,1.0
638,638,25156,0.796,1.0
639,639,26147,0.804,1.0
640,640,26147,0.804,1.0
641,641,26147,0.804,1.0
